w_spatial,w_flow,w_audio,objective,objective_value,val_auc_roc,val_calibrated_threshold,val_calibrated_balanced_accuracy,val_calibrated_f1_lie,val_calibrated_macro_f1
0.09,0.11,0.8,auc_roc,0.705621301775148,0.705621301775148,0.5358716541612764,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.12,0.12,0.76,auc_roc,0.7053747534516767,0.7053747534516767,0.5323362235893632,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.1,0.0,0.9,auc_roc,0.7053747534516767,0.7053747534516767,0.5378458729670322,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.09,0.12,0.79,auc_roc,0.7053747534516766,0.7053747534516766,0.5356414509907413,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.13,0.11,0.76,auc_roc,0.7051282051282052,0.7051282051282052,0.5325271630026687,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.09,0.09,0.82,auc_roc,0.7051282051282052,0.7051282051282052,0.5363000732375972,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.08,0.15,0.77,auc_roc,0.7048816568047339,0.7048816568047339,0.5351549238704548,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.08,0.16,0.76,auc_roc,0.7048816568047339,0.7048816568047339,0.5349246737344238,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.09,0.08,0.83,auc_roc,0.7048816568047338,0.7048816568047338,0.5364795211037874,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.09,0.13,0.78,auc_roc,0.7048816568047338,0.7048816568047338,0.535411232631912,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.01,0.89,auc_roc,0.7048816568047338,0.7048816568047338,0.5376664982091306,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.05,0.85,auc_roc,0.7048816568047338,0.7048816568047338,0.5367940906562799,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.12,0.13,0.75,auc_roc,0.7048816568047337,0.7048816568047337,0.5322049906834864,0.6794871794871795,0.6115702479338843,0.6367203757655033
