w_spatial,w_flow,w_audio,objective,objective_value,val_auc_roc,val_calibrated_threshold,val_calibrated_balanced_accuracy,val_calibrated_f1_lie,val_calibrated_macro_f1
0.09,0.1,0.81,auc_roc,0.705621301775148,0.705621301775148,0.5360871577262879,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.09,0.11,0.8,auc_roc,0.705621301775148,0.705621301775148,0.5358619496822358,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.09,0.12,0.79,auc_roc,0.7053747534516766,0.7053747534516766,0.5356313675642014,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.12,0.12,0.76,auc_roc,0.7051282051282052,0.7051282051282052,0.532333322763443,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.13,0.11,0.76,auc_roc,0.7051282051282052,0.7051282051282052,0.5325243729352951,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.09,0.07,0.84,auc_roc,0.7051282051282052,0.7051282051282052,0.5366559201478958,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.09,0.08,0.83,auc_roc,0.7051282051282052,0.7051282051282052,0.5364761663973331,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.05,0.85,auc_roc,0.7051282051282052,0.7051282051282052,0.5367763765156269,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.08,0.15,0.77,auc_roc,0.7048816568047339,0.7048816568047339,0.535144034266472,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.08,0.16,0.76,auc_roc,0.7048816568047339,0.7048816568047339,0.5349134521484376,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.09,0.09,0.82,auc_roc,0.7048816568047338,0.7048816568047338,0.5362964126467704,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.09,0.13,0.78,auc_roc,0.7048816568047338,0.7048816568047338,0.5354007854461671,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.13,0.1,0.77,auc_roc,0.7048816568047337,0.7048816568047337,0.532655773460865,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.05,0.59,0.36,auc_roc,0.7048816568047337,0.7048816568047337,0.52677705578506,0.6794871794871795,0.5862068965517241,0.6264367816091954
0.1,0.0,0.9,auc_roc,0.7048816568047337,0.7048816568047337,0.537845253944397,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.1,0.8,auc_roc,0.7048816568047337,0.7048816568047337,0.5356826975941659,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.12,0.11,0.77,auc_roc,0.7046351084812624,0.7046351084812624,0.532464723289013,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.13,0.12,0.75,auc_roc,0.7046351084812624,0.7046351084812624,0.5323929724097252,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.09,0.06,0.85,auc_roc,0.7046351084812624,0.7046351084812624,0.5368356738984585,0.6858974358974359,0.5714285714285714,0.6235521235521235
