fold,best_epoch,best_val_auc_roc,best_val_f1_lie,best_val_balanced_accuracy,threshold,accuracy,balanced_accuracy,precision_lie,recall_lie,f1_lie,macro_f1,auc_roc,auc_pr,confusion_matrix,calibrated_threshold,cal_accuracy,cal_balanced_accuracy,cal_precision_lie,cal_recall_lie,cal_f1_lie,cal_macro_f1,cal_auc_roc,cal_auc_pr,cal_confusion_matrix
fold1,13,0.6153846153846154,0.7611940298507462,0.5598290598290598,0.5,0.5681818181818182,0.5463326419719228,0.5579710144927537,0.8988326848249028,0.6885245901639344,0.49241044323011535,0.6176657124736453,0.6347108185161672,"[[44, 183], [26, 231]]",0.6054642729461193,0.5702479338842975,0.5745041910214437,0.6161137440758294,0.5058365758754864,0.5555555555555556,0.5697777777777777,0.6176657124736453,0.6347108185161672,"[[146, 81], [127, 130]]"
fold2,12,0.646984126984127,0.7133757961783439,0.5555555555555556,0.5,0.6016597510373444,0.5886566442860348,0.5826558265582655,0.849802371541502,0.6913183279742765,0.5649574096011734,0.6772528781262406,0.679869076530359,"[[75, 154], [38, 215]]",0.5355864841313589,0.5933609958506224,0.6043633602015983,0.708029197080292,0.383399209486166,0.49743589743589745,0.5779862414008756,0.6772528781262406,0.679869076530359,"[[189, 40], [156, 97]]"
fold3,3,0.5902366863905325,0.6585365853658537,0.5384615384615384,0.5,0.5969827586206896,0.5914733016494269,0.6035714285714285,0.689795918367347,0.6438095238095238,0.5898948363464492,0.6233156276209115,0.6535951132135992,"[[108, 111], [76, 169]]",0.5113890767097473,0.5969827586206896,0.5965613642717361,0.6218487394957983,0.6040816326530613,0.6128364389233955,0.5963058599111359,0.6233156276209115,0.6535951132135992,"[[129, 90], [97, 148]]"
