host,n,lie,truth,accuracy,balanced_accuracy,precision_lie,recall_lie,f1_lie,macro_f1,auc_roc,tn,fp,fn,tp,score_mean,score_std,pred_lie_rate
LS,374,208,166,0.6229946524064172,0.629431186283596,0.695906432748538,0.5721153846153846,0.6279683377308707,0.6229272582963297,0.620308155699722,114,52,89,119,0.537513645174151,0.08080861746166945,0.4572192513368984
YW,338,185,153,0.591715976331361,0.5925454866631337,0.6390532544378699,0.5837837837837838,0.6101694915254239,0.5907990314769976,0.6041335453100158,92,61,77,108,0.5387535020739128,0.10002514221242569,0.5
BRI,269,111,158,0.5910780669144982,0.5514026684912761,0.5070422535211268,0.32432432432432434,0.39560439560439564,0.543307815779726,0.6285209259892804,123,35,75,36,0.5075381003656761,0.09342747606071625,0.26394052044609667
AN,266,150,116,0.5902255639097744,0.6073563218390805,0.7029702970297029,0.47333333333333333,0.5657370517928286,0.5889183479604713,0.6563218390804597,86,30,79,71,0.5306533238882434,0.08058108256865551,0.37969924812030076
SB,183,101,82,0.4918032786885246,0.501750784834581,0.5540540540540541,0.40594059405940597,0.4685714285714286,0.49083021690351536,0.4727119053368751,49,33,60,41,0.533454603598172,0.08806660625558718,0.40437158469945356
