fold,correct_calibrated,n,mean_window_std,median_window_std,mean_num_windows
fold1,False,208,0.05750921084709558,0.05297842930661138,5.110576923076923
fold1,True,276,0.05730598164602546,0.054401343678531215,4.909420289855072
fold2,False,196,0.01670371178328716,0.005527858331313895,4.88265306122449
fold2,True,286,0.02090583676489218,0.0064341561548422995,5.031468531468532
fold3,False,187,0.03535630142489618,0.009861468373952768,4.9411764705882355
fold3,True,277,0.03347317709869805,0.009147429167390714,5.043321299638989
