host,n,lie,truth,accuracy,balanced_accuracy,precision_lie,recall_lie,f1_lie,macro_f1,auc_roc,tn,fp,fn,tp,score_mean,score_std,pred_lie_rate
LS,374,208,166,0.6176470588235294,0.5856985634847081,0.6094276094276094,0.8701923076923077,0.7168316831683169,0.5641771584565864,0.620308155699722,50,116,27,181,0.537513645174151,0.08080861746166945,0.7941176470588235
YW,338,185,153,0.606508875739645,0.5811870694223635,0.5992366412213741,0.8486486486486486,0.7024608501118569,0.5608374119554917,0.6041335453100158,48,105,28,157,0.5387535020739128,0.10002514221242569,0.7751479289940828
BRI,269,111,158,0.5353159851301115,0.5575322157600638,0.4578313253012048,0.6846846846846847,0.5487364620938627,0.5349046295143643,0.6285209259892804,68,90,35,76,0.5075381003656761,0.09342747606071625,0.6171003717472119
AN,266,150,116,0.6203007518796992,0.588103448275862,0.6206896551724138,0.84,0.7138810198300283,0.5748176048870812,0.6563218390804597,39,77,24,126,0.5306533238882434,0.08058108256865551,0.7631578947368421
SB,183,101,82,0.5300546448087432,0.5054334701762859,0.5555555555555556,0.7425742574257426,0.635593220338983,0.48702737940026075,0.4727119053368751,22,60,26,75,0.533454603598172,0.08806660625558718,0.7377049180327869
