experiment,method,group,fold,seed,summary_path,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_lie_at_0p5,macro_f1_at_0p5,auc_roc,auc_pr,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_precision_lie,calibrated_recall_lie,calibrated_f1_lie,calibrated_macro_f1,calibrated_threshold,best_epoch,best_val_metric,loss_name
gated_neutral_no_prior,Gated neutral no-prior,prior_kl,fold2,42,outputs/metrics/paper_gated_neutral_no_prior/fold2_seed42_summary.json,0.5850622406639004,0.5904516975335278,0.5495495495495496,0.5824670824670826,0.6179470804494537,0.6182181482481319,0.5767634854771784,0.5852391390648463,0.6521739130434783,0.4150197628458498,0.5072463768115942,0.5681686429512517,0.5046621243158976,1,0.6422222222222221,ce
gated_neutral_no_prior,Gated neutral no-prior,prior_kl,fold2,123,outputs/metrics/paper_gated_neutral_no_prior/fold2_seed123_summary.json,0.6120331950207469,0.6144864249098159,0.6046511627906976,0.6118978828210107,0.6406614080811917,0.6488822564048538,0.6078838174273858,0.6109480987969691,0.6495327102803738,0.549407114624506,0.5952890792291221,0.6075036945441386,0.5065302096662068,6,0.6647619047619048,ce
gated_neutral_no_prior,Gated neutral no-prior,prior_kl,fold2,2025,outputs/metrics/paper_gated_neutral_no_prior/fold2_seed2025_summary.json,0.553941908713693,0.5320175362894178,0.695898161244696,0.4296611428791573,0.6167561316602517,0.6158714860095704,0.5746887966804979,0.5724925349949083,0.5909090909090909,0.616600790513834,0.6034816247582205,0.5724343246833608,0.5341861993074417,2,0.647936507936508,ce
gated_neutral_no_prior,Gated neutral no-prior,prior_kl,fold3,42,outputs/metrics/paper_gated_neutral_no_prior/fold3_seed42_summary.json,0.47413793103448276,0.5010716615413289,0.03937007874015748,0.33867613729292745,0.61312086478427,0.6005777324328523,0.5905172413793104,0.5761438822104183,0.5779036827195467,0.8326530612244898,0.6822742474916388,0.5532583358670315,0.4518776118755341,2,0.5564595660749507,ce
gated_neutral_no_prior,Gated neutral no-prior,prior_kl,fold3,123,outputs/metrics/paper_gated_neutral_no_prior/fold3_seed123_summary.json,0.47198275862068967,0.5,0.0,0.3206442166910688,0.5819588109216289,0.5934524878011349,0.5,0.5212002609262884,0.6140350877192983,0.14285714285714285,0.23178807947019867,0.4305905253581025,0.4632079616189003,2,0.5727317554240632,ce
gated_neutral_no_prior,Gated neutral no-prior,prior_kl,fold3,2025,outputs/metrics/paper_gated_neutral_no_prior/fold3_seed2025_summary.json,0.584051724137931,0.5792284036902432,0.628131021194605,0.5781241903039039,0.5903830025160749,0.6230913357245083,0.5452586206896551,0.5572733202870189,0.6268656716417911,0.34285714285714286,0.44327176781002636,0.5294683064915341,0.5529655188322067,4,0.5387080867850099,ce
gated_prior_kl,Gated Prior-KL,prior_kl,fold1,42,outputs/metrics/paper_gated_prior_kl/fold1_seed42_summary.json,0.5227272727272727,0.5436414748281595,0.314540059347181,0.47422724045013565,0.5761668866452974,0.6171750195746815,0.5495867768595041,0.5483638732237439,0.5770750988142292,0.5680933852140078,0.5725490196078431,0.5482832434283758,0.46518746068080263,2,0.592948717948718,ce
gated_prior_kl,Gated Prior-KL,prior_kl,fold1,123,outputs/metrics/paper_gated_prior_kl/fold1_seed123_summary.json,0.5805785123966942,0.5634052692024203,0.6803149606299213,0.5353526755101559,0.6148374157938943,0.6206010625622224,0.5392561983471075,0.551749258643446,0.6164383561643836,0.35019455252918286,0.4466501240694789,0.5259799292913766,0.5308023641506832,3,0.5710470085470085,ce
gated_prior_kl,Gated Prior-KL,prior_kl,fold1,2025,outputs/metrics/paper_gated_prior_kl/fold1_seed2025_summary.json,0.621900826446281,0.6203140266374123,0.6446601941747573,0.6203433421204912,0.6841392550437957,0.7052841889435431,0.6136363636363636,0.6217881691492826,0.6923076923076923,0.490272373540856,0.5740318906605922,0.6102673630996722,0.6019741122921307,19,0.5811965811965812,ce
gated_prior_kl,Gated Prior-KL,prior_kl,fold2,42,outputs/metrics/paper_gated_prior_kl/fold2_seed42_summary.json,0.6639004149377593,0.6605795950774117,0.6943396226415094,0.6605338666202938,0.7052660648635587,0.7352993532523828,0.6431535269709544,0.6433022075702919,0.6666666666666666,0.6403162055335968,0.6532258064516129,0.6428522194651227,0.5132594766716163,12,0.6476190476190475,ce
gated_prior_kl,Gated Prior-KL,prior_kl,fold2,123,outputs/metrics/paper_gated_prior_kl/fold2_seed123_summary.json,0.524896265560166,0.5,0.6884353741496598,0.3442176870748299,0.6193969311493519,0.6167290629727307,0.5726141078838174,0.5817008129519996,0.6516129032258065,0.39920948616600793,0.4950980392156863,0.5622972210466921,0.546492155960628,1,0.6234920634920635,ce
gated_prior_kl,Gated Prior-KL,prior_kl,fold2,2025,outputs/metrics/paper_gated_prior_kl/fold2_seed2025_summary.json,0.6244813278008299,0.6118456254207156,0.7075928917609047,0.5914776053007422,0.6844158309888326,0.6972056974116192,0.6514522821576764,0.6547284118956798,0.6995305164319249,0.5889328063241107,0.6394849785407726,0.6510677904752056,0.5341214120388031,7,0.6333333333333333,ce
gated_prior_kl,Gated Prior-KL,prior_kl,fold3,42,outputs/metrics/paper_gated_prior_kl/fold3_seed42_summary.json,0.603448275862069,0.5992917715031219,0.642023346303502,0.5987894509295288,0.6601248718665548,0.6801150966265728,0.5905172413793104,0.581474233529028,0.5889967637540453,0.7428571428571429,0.6570397111913358,0.5745091604085021,0.48932561948895453,21,0.6094674556213018,ce
gated_prior_kl,Gated Prior-KL,prior_kl,fold3,123,outputs/metrics/paper_gated_prior_kl/fold3_seed123_summary.json,0.6163793103448276,0.6156555772994129,0.6337448559670782,0.6155149619201907,0.6438542540303793,0.6577405847748132,0.5969827586206896,0.5820240424937098,0.5810055865921788,0.8489795918367347,0.6898839137645107,0.5572496491899477,0.4816991530358791,5,0.5890039447731755,ce
gated_prior_kl,Gated Prior-KL,prior_kl,fold3,2025,outputs/metrics/paper_gated_prior_kl/fold3_seed2025_summary.json,0.5280172413793104,0.5,0.691114245416079,0.3455571227080395,0.5858540676544591,0.6019233849321118,0.5258620689655172,0.540844282918647,0.6146788990825688,0.27346938775510204,0.3785310734463277,0.49762790606114293,0.5617849417030811,1,0.5485700197238659,ce
