group,experiment,method,num_runs,folds,seeds,auc_roc_mean,auc_roc_std,auc_roc_paper,balanced_accuracy_at_0p5_mean,balanced_accuracy_at_0p5_std,balanced_accuracy_at_0p5_paper,calibrated_balanced_accuracy_mean,calibrated_balanced_accuracy_std,calibrated_balanced_accuracy_paper,calibrated_f1_lie_mean,calibrated_f1_lie_std,calibrated_f1_lie_paper,calibrated_macro_f1_mean,calibrated_macro_f1_std,calibrated_macro_f1_paper
single_stream,static_only,Static only,3,"fold1,fold2,fold3",42,0.6533138552587796,0.01710875865022986,65.33 +- 1.71,0.5915755870369482,0.031963902309865774,59.16 +- 3.20,0.6090757395122129,0.01857612589234244,60.91 +- 1.86,0.5439022899635169,0.07380516141235796,54.39 +- 7.38,0.5922791000497565,0.03183850593464626,59.23 +- 3.18
single_stream,flow_only,Flow only,3,"fold1,fold2,fold3",42,0.5445531873217003,0.07029606213814465,54.46 +- 7.03,0.500700883489655,0.0008799442881650292,50.07 +- 0.09,0.5320773724368434,0.058544671641497674,53.21 +- 5.85,0.5039429869916904,0.09791160333285115,50.39 +- 9.79,0.5248832283172525,0.06276978480663474,52.49 +- 6.28
single_stream,audio_only,Audio only,3,"fold1,fold2,fold3",42,0.5803266687789416,0.025012894945011816,58.03 +- 2.50,0.5139157910374421,0.024102857104361296,51.39 +- 2.41,0.5603615762260109,0.023804216013953952,56.04 +- 2.38,0.5309175197423799,0.06398831327014948,53.09 +- 6.40,0.552218217913496,0.02837030394718793,55.22 +- 2.84
prior_kl,gated_no_prior,Gated prior-init w/o Prior-KL,9,"fold1,fold2,fold3","42,123,2025",0.6419609867060031,0.04195259901298868,64.20 +- 4.20,0.5723474145956085,0.0668449946035019,57.23 +- 6.68,0.5926932845447801,0.03620776507498499,59.27 +- 3.62,0.5275001635471264,0.11445930797234881,52.75 +- 11.45,0.571762230632152,0.04927743795525244,57.18 +- 4.93
prior_kl,gated_neutral_no_prior,Gated neutral no-prior,9,"fold1,fold2,fold3","42,123,2025",0.6189855914227541,0.033110912549442456,61.90 +- 3.31,0.5627412988078402,0.05260345466893027,56.27 +- 5.26,0.5733857043741752,0.028457485953361308,57.34 +- 2.85,0.5177638483368789,0.1267494837805488,51.78 +- 12.67,0.5515669810760837,0.05095846433657035,55.16 +- 5.10
prior_kl,gated_prior_kl,Gated Prior-KL,9,"fold1,fold2,fold3","42,123,2025",0.6415617308929027,0.0456107227695411,64.16 +- 4.56,0.5794148155520727,0.056091636921931,57.94 +- 5.61,0.589552810263981,0.041619905716917066,58.96 +- 4.16,0.5673882841053511,0.10674149308443566,56.74 +- 10.67,0.5744593869406709,0.051491818253968896,57.45 +- 5.15
