recorded_at,stage,experiment_name,tag,dataset,fold,seed,aggregation,loss_name,label_imbalance,batch_size,gradient_accumulation,frames_per_clip,window_seconds,num_windows_per_clip_train,freeze_vit,freeze_wav2vec,best_epoch,best_val_f1_lie,accuracy,balanced_accuracy,precision_lie,recall_lie,f1_lie,macro_f1,auc_roc,auc_pr,checkpoint,metrics_json,config_path,notes,best_val_metric_name,best_val_metric,threshold_calibration_metric,threshold,calibrated_threshold,stream_mode
2026-05-16 17:40:06,train,dolos_three_stream,official_fold1_seed42,dolos,fold1,42,mean,ce,0.0408401414752006,4,4,16,2.0,3,True,True,7,0.7482014388489209,0.5475206611570248,0.5178782632544268,0.540084388185654,0.9961089494163424,0.7004103967168263,0.3881798819027169,0.5647594233703013,0.6048018645827803,outputs/checkpoints/dolos_three_stream/fold1_seed42_best.pt,outputs/metrics/dolos_three_stream/fold1_seed42_test_metrics.json,configs/multimodal_dolos.yaml,Official training fold1 seed42 after full preprocessing and cache filtering,,,,,,
2026-05-17 09:44:24,train,dolos_three_stream_auc,fold1_auc_calibrated,dolos,fold1,42,mean,ce,0.0408401414752006,4,4,16,2.0,3,True,True,12,0.746031746031746,0.628099173553719,0.6181799482336001,0.6191950464396285,0.7782101167315175,0.6896551724137931,0.6128688233202986,0.6527880148785546,0.6608358345658406,outputs/checkpoints/dolos_three_stream_auc/fold1_seed42_best.pt,outputs/metrics/dolos_three_stream_auc/fold1_seed42_test_metrics.json,configs/multimodal_dolos_auc.yaml,"Fold1 run selecting checkpoint by val_auc_roc; official metrics use threshold 0.5, calibrated metrics stored in JSON",auc_roc,0.6485042735042735,balanced_accuracy,0.5,0.6780782699584961,
2026-05-17 11:08:43,train,dolos_three_stream_auc,fold2_auc,dolos,fold2,42,mean,ce,0.0384615398943424,4,4,16,2.0,3,True,True,2,0.7567567567567568,0.524896265560166,0.5,0.524896265560166,1.0,0.6884353741496598,0.3442176870748299,0.6094637278423115,0.6211530470562298,outputs/checkpoints/dolos_three_stream_auc/fold2_seed42_best.pt,outputs/metrics/dolos_three_stream_auc/fold2_seed42_test_metrics.json,configs/multimodal_dolos_auc.yaml,"Fold2 run selecting checkpoint by val_auc_roc; official metrics use threshold 0.5, calibrated metrics stored in JSON",auc_roc,0.647936507936508,balanced_accuracy,0.5,0.5096237480640411,
2026-05-17 11:44:20,train,dolos_three_stream_auc,fold3_auc,dolos,fold3,42,mean,ce,0.0347305387258529,4,4,16,2.0,3,True,True,1,0.32,0.4892241379310345,0.5117230453825365,0.5869565217391305,0.110204081632653,0.1855670103092783,0.4067552476978103,0.5793495480383934,0.5889112470344231,outputs/checkpoints/dolos_three_stream_auc/fold3_seed42_best.pt,outputs/metrics/dolos_three_stream_auc/fold3_seed42_test_metrics.json,configs/multimodal_dolos_auc.yaml,"Fold3 run selecting checkpoint by val_auc_roc; official metrics use threshold 0.5, calibrated metrics stored in JSON",auc_roc,0.5347633136094675,balanced_accuracy,0.5,0.489525461480731,
2026-05-17 20:54:16,train,dolos_three_stream_fusion_residual,fold3_residual_fusion,dolos,fold3,42,mean,ce,0.0347305387258529,4,4,16,2.0,3,True,True,1,0.0,0.4719827586206896,0.5,0.0,0.0,0.0,0.3206442166910688,0.555847544497251,0.5679031048036643,outputs/checkpoints/dolos_three_stream_fusion_residual/fold3_seed42_best.pt,outputs/metrics/dolos_three_stream_fusion_residual/fold3_seed42_test_metrics.json,configs/multimodal_dolos_fusion_residual.yaml,Fold3 residual normalized cross-attention fusion with feature norm logging,auc_roc,0.5433925049309665,balanced_accuracy,0.5,0.4819139838218689,
2026-05-17 21:35:55,train,dolos_fold3_spatial_only,fold3_spatial_only,dolos,fold3,42,mean,ce,0.0347305387258529,4,4,16,2.0,3,True,True,2,0.6785714285714286,0.5237068965517241,0.5145745969620725,0.538961038961039,0.6775510204081633,0.6003616636528029,0.5055141651597348,0.5580095051719318,0.6070762056863372,outputs/checkpoints/dolos_fold3_spatial_only/fold3_seed42_best.pt,outputs/metrics/dolos_fold3_spatial_only/fold3_seed42_test_metrics.json,configs/ablation_fold3_spatial.yaml,Fold3 spatial/RGB-only ablation with feature norm logging,auc_roc,0.5840729783037475,balanced_accuracy,0.5,0.529942087829113,spatial
2026-05-17 22:09:12,train,dolos_fold3_flow_only,fold3_flow_only,dolos,fold3,42,mean,ce,0.0347305387258529,4,4,16,2.0,3,True,True,2,0.75,0.5280172413793104,0.5,0.5280172413793104,1.0,0.691114245416079,0.3455571227080395,0.5701332587829652,0.5845714122364055,outputs/checkpoints/dolos_fold3_flow_only/fold3_seed42_best.pt,outputs/metrics/dolos_fold3_flow_only/fold3_seed42_test_metrics.json,configs/ablation_fold3_flow.yaml,Fold3 optical-flow-only ablation with feature norm logging,auc_roc,0.5633629191321499,balanced_accuracy,0.5,0.5199344998056239,flow
2026-05-17 23:34:53,train,dolos_fold3_audio_only,fold3_audio_only,dolos,fold3,42,mean,ce,0.0347305387258529,4,4,16,2.0,3,True,True,28,0.75,0.5280172413793104,0.5,0.5280172413793104,1.0,0.691114245416079,0.3455571227080395,0.5666387102786321,0.5672275700020236,outputs/checkpoints/dolos_fold3_audio_only/fold3_seed42_best.pt,outputs/metrics/dolos_fold3_audio_only/fold3_seed42_test_metrics.json,configs/ablation_fold3_audio.yaml,Fold3 audio-only ablation with feature norm logging,auc_roc,0.6977317554240631,balanced_accuracy,0.5,0.5379821926355361,audio
2026-05-18 07:56:22,train,dolos_three_stream_gated_logits_prior_kl,fold3_gated_logits_prior_kl,dolos,fold3,42,mean,ce,0.0347305387258529,4,4,16,2.0,3,True,True,3,0.6585365853658537,0.5969827586206896,0.5914733016494269,0.6035714285714285,0.689795918367347,0.6438095238095238,0.5898948363464492,0.6233156276209115,0.6535951132135992,outputs/checkpoints/dolos_three_stream_gated_logits_prior_kl/fold3_seed42_best.pt,outputs/metrics/dolos_three_stream_gated_logits_prior_kl/fold3_seed42_test_metrics.json,configs/multimodal_dolos_gated_logits.yaml,"Fold3 gated-logit fusion with aux losses, stream dropout, and gate prior KL",auc_roc,0.5902366863905325,balanced_accuracy,0.5,0.5113890767097473,gated
2026-05-18 19:37:54,train,dolos_three_stream_gated_logits_prior_kl,fold1_gated_logits_prior_kl,dolos,fold1,42,mean,ce,0.0408401414752006,4,4,16,2.0,3,True,True,13,0.7611940298507462,0.5681818181818182,0.5463326419719228,0.5579710144927537,0.8988326848249028,0.6885245901639344,0.4924104432301153,0.6176657124736453,0.6347108185161672,outputs/checkpoints/dolos_three_stream_gated_logits_prior_kl/fold1_seed42_best.pt,outputs/metrics/dolos_three_stream_gated_logits_prior_kl/fold1_seed42_test_metrics.json,configs/multimodal_dolos_gated_logits.yaml,"Fold1 gated-logit fusion with aux losses, stream dropout, and gate prior KL",auc_roc,0.6153846153846154,balanced_accuracy,0.5,0.6054642729461193,gated
