setting,stat,accuracy,balanced_accuracy,precision_lie,recall_lie,f1_lie,macro_f1,auc_roc,auc_pr
default_threshold_0.5,mean,0.5474065256816398,0.5433009978720456,0.5770159445796416,0.6294713994547235,0.5212191856242437,0.4546139193643129,0.6138670969197532,0.6236333762188312
default_threshold_0.5,std,0.07212213764062174,0.0651114456428082,0.04792886734042476,0.463170161602253,0.2906839504895351,0.14057452682387703,0.03691672178542525,0.03602638751605929
calibrated_threshold,mean,0.5546675915754273,0.5635006105125975,0.6148258863016572,0.41022482846201336,0.4830161176840897,0.5426158171404217,0.6138670969197532,0.6236333762188312
calibrated_threshold,std,0.038253729721864235,0.03262303326528334,0.032809099445976195,0.14662707794236257,0.11409534628407972,0.05382063609159787,0.03691672178542525,0.03602638751605929
