run,stream,best_epoch,best_val_auc_roc,best_val_balanced_accuracy,best_val_f1_lie,test_auc_roc,test_auc_pr,test_accuracy,test_balanced_accuracy,test_f1_lie,test_macro_f1,test_cm,calibrated_threshold,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_f1_lie,calibrated_macro_f1,calibrated_cm,score_mean,score_std,score_min,score_max,feature_attended_abs_mean,feature_attended_rms,feature_attention_delta_abs_mean,feature_attention_delta_rms,feature_audio_abs_mean,feature_audio_rms,feature_flow_abs_mean,feature_flow_rms,feature_fused_abs_mean,feature_fused_rms,feature_logits_abs_mean,feature_logits_rms,feature_spatial_abs_mean,feature_spatial_rms,feature_visual_abs_mean,feature_visual_rms
full_auc,all,1,0.5347633136094675,0.5448717948717948,0.32,0.5793495480383934,0.5889112470344231,0.4892241379310345,0.5117230453825365,0.18556701030927836,0.4067552476978103,"[[200, 19], [218, 27]]",0.48952546148073106,0.5107758620689655,0.5258317025440313,0.35694050991501414,0.481078950609681,"[[174, 45], [182, 63]]",0.481344091889594,0.012950458852689323,0.4583062827587127,0.5211613972981771,,,,,,,,,,,,,,,,
fusion_residual,all_residual,1,0.5433925049309665,0.5,0.0,0.555847544497251,0.5679031048036643,0.47198275862068967,0.5,0.0,0.3206442166910688,"[[219, 0], [245, 0]]",0.4819139838218689,0.4870689655172414,0.5087130742708041,0.20134228187919462,0.4117822520507084,"[[196, 23], [215, 30]]",0.46720902922733976,0.011610852610438455,0.4426305651664733,0.491255834698677,0.7856664657592773,1.0056201219558716,0.9104461073875428,1.1740802526474,0.4158180058002472,0.7332785725593567,0.4443783462047577,0.6620270013809204,0.3964631557464599,0.6841075420379639,0.0696067810058593,0.0744244158267974,0.4405724108219147,0.7027403116226196,0.4490424692630768,0.7655235528945923
spatial_only,spatial,2,0.5840729783037475,0.548076923076923,0.6785714285714286,0.5580095051719318,0.6070762056863372,0.5237068965517241,0.5145745969620725,0.6003616636528029,0.5055141651597348,"[[77, 142], [79, 166]]",0.529942087829113,0.521551724137931,0.5406392694063927,0.30625,0.4705592105263158,"[[193, 26], [196, 49]]",0.5096219718402373,0.01860935896268579,0.45992012321949,0.547845147550106,,,,,,,,,,,0.041168212890625,0.0482000783085823,0.4340616464614868,0.7455562353134155,,
flow_only,flow,2,0.5633629191321499,0.5,0.75,0.5701332587829652,0.5845714122364055,0.5280172413793104,0.5,0.691114245416079,0.3455571227080395,"[[0, 219], [0, 245]]",0.5199344998056239,0.5517241379310345,0.5420743639921722,0.6272401433691757,0.5325389906035067,"[[81, 138], [70, 175]]",0.5206885725067975,0.0016887421349626956,0.5161833034621345,0.5265607833862305,,,,,,,0.4742102324962616,0.7556065320968628,,,0.0388145446777343,0.0392164438962936,,,,
audio_only,audio,28,0.6977317554240631,0.5,0.75,0.5666387102786321,0.5672275700020236,0.5280172413793104,0.5,0.691114245416079,0.3455571227080395,"[[0, 219], [0, 245]]",0.5379821926355361,0.5301724137931034,0.5391109868604976,0.4603960396039604,0.5221827526264077,"[[153, 66], [152, 93]]",0.5339697915642873,0.012685557316457634,0.5062639514605204,0.5888753732045492,,,,,0.3694802522659302,0.62730473279953,,,,,0.0370121002197265,0.0406538471579551,,,,
