host,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
SB,183,82,101,0.5136612021857924,0.5169645013281816,0.5240641711229946,0.5405699106496016,0.46994535519125685,45,37,52,49
YW,338,153,185,0.5798816568047337,0.5772125066242714,0.6120218579234973,0.5965730436318671,0.5355029585798816,84,69,73,112
AN,266,116,150,0.6278195488721805,0.6201724137931035,0.6732673267326733,0.6080459770114942,0.575187969924812,65,51,48,102
BRI,269,158,111,0.6431226765799256,0.6292051545216102,0.5596330275229358,0.6241874786178584,0.39776951672862454,112,46,50,61
LS,374,166,208,0.6310160427807486,0.63116890639481,0.655,0.6243193929564411,0.5133689839572193,105,61,77,131
