source_group,method,acc,f1_lie,auc_roc,balanced_accuracy,notes
paper,DOLOS paper Visual,0.6144,0.6942,0.5889,,Table 2
paper,DOLOS paper Audio,0.5919,0.7345999999999999,0.5254,,Table 2
paper,DOLOS paper Concatenation,0.6162,0.7020000000000001,0.605,,Table 2
paper,DOLOS paper PAVF,0.6475,0.7120000000000001,0.6271,,Table 2
paper,DOLOS paper PAVF + Multi-task,0.6684,0.7334999999999999,0.6457999999999999,,Table 2
ours,Cross-attention AUC baseline,0.5546675915754273,0.4830161176840897,0.6138670969197532,0.5635006105125975,mean over fold calibrated thresholds
ours,Gated logits prior-KL,0.5868638961185365,0.5552759639716162,0.6394114060735991,0.5918096384982593,mean over fold calibrated thresholds
ours,Final ensemble raw-AUC,0.5945218864197064,0.5495284902800974,0.6505471758682931,0.60166730724013,mean over fold calibrated thresholds
