host,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
SB,183,82,101,0.5027322404371585,0.5185341704902198,0.4484848484848485,0.483578845689447,0.34972677595628415,55,27,64,37
BRI,269,158,111,0.6059479553903345,0.5573611586269814,0.36904761904761907,0.6549207435283385,0.21189591078066913,132,26,80,31
YW,338,153,185,0.5887573964497042,0.5983218512630277,0.5696594427244582,0.6210916799152093,0.40828402366863903,107,46,93,92
LS,374,166,208,0.6203208556149733,0.6276355421686747,0.6223404255319149,0.6245366079703429,0.44919786096256686,115,51,91,117
AN,266,116,150,0.6165413533834586,0.6297126436781608,0.6076923076923076,0.6816091954022989,0.41353383458646614,85,31,71,79
