method,method_label,fold,weights,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_lie_at_0p5,macro_f1_at_0p5,auc_roc,auc_pr,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_precision_lie,calibrated_recall_lie,calibrated_f1_lie,calibrated_macro_f1
cross_attention_auc,Cross-attention AUC baseline,mean,cross_attention_auc=1.00;gated_prior_kl=0.00,0.5474065256816398,0.5433009978720456,0.5212191856242437,0.4546139193643129,0.6138670969197532,0.6236333762188312,0.5546675915754273,0.5635006105125975,0.6148258863016572,0.41022482846201336,0.4830161176840897,0.5426158171404217
ensemble_raw_auc_roc,Final ensemble raw-AUC,mean,cross_attention_auc=0.61;gated_prior_kl=0.39,0.5992051854803712,0.5880522036175083,0.67512079616214,0.5660732708313478,0.6505471758682931,0.6624853481369376,0.5945218864197064,0.60166730724013,0.6667055711173359,0.4727399530889393,0.5495284902800974,0.5890511380374409
ensemble_raw_balanced_accuracy,Final ensemble raw-BA,mean,cross_attention_auc=0.76;gated_prior_kl=0.24,0.5892904266720589,0.582116655195411,0.6286760487430864,0.5450871317884421,0.6486536904508475,0.6532437886251322,0.5986455447304638,0.6008272506908514,0.6501007627950633,0.5587778391219916,0.5861920284900536,0.5891293290107694
gated_prior_kl,Gated logits prior-KL,mean,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5889414426132841,0.5754875293024615,0.6745508139825782,0.549087563059246,0.6394114060735991,0.6560583360867085,0.5868638961185365,0.5918096384982593,0.6486638935506399,0.49777247267157126,0.5552759639716162,0.5813566263632631
