model,optimize_metric,selected_threshold,val_selection_score,val_auc_roc,val_macro_f1_at_threshold,val_lie_recall_at_threshold,test_auc_roc,test_macro_f1_default,test_macro_f1_tuned,test_lie_recall_default,test_lie_recall_tuned,test_accuracy_default,test_accuracy_tuned,test_eer
resnet18_seed42,macro_f1,0.5885735154151917,0.49650349650349646,0.3819444444444444,0.49650349650349646,0.5833333333333334,0.7202797202797203,0.6571428571428571,0.6666666666666666,0.7692307692307693,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.2902097902097902
late_fusion,macro_f1,0.4876373438423115,0.7078260869565217,0.7222222222222223,0.7078260869565217,0.75,0.6783216783216783,0.6190476190476191,0.6243478260869566,0.46153846153846156,0.5384615384615384,0.625,0.625,0.2517482517482517
tfidf_linear_svm,macro_f1,0.0312067859022423,0.6950998185117967,0.6944444444444444,0.6950998185117967,0.5,0.6223776223776224,0.34375,0.5714285714285714,0.07692307692307693,0.38461538461538464,0.4166666666666667,0.5833333333333334,0.3356643356643357
tfidf_logistic_regression,macro_f1,0.4847613692159745,0.6666666666666666,0.7013888888888888,0.6666666666666666,0.6666666666666666,0.6433566433566434,0.5714285714285714,0.5408695652173914,0.38461538461538464,0.46153846153846156,0.5833333333333334,0.5416666666666666,0.458041958041958
resnet18_frame_ensemble,macro_f1,0.5814582159121832,0.5555555555555556,0.5138888888888888,0.5555555555555556,0.3333333333333333,0.6223776223776224,0.5804195804195804,0.4666666666666667,0.46153846153846156,0.23076923076923078,0.5833333333333334,0.5,0.5419580419580419
r3d18_rgb,macro_f1,0.3745121657848358,0.6643356643356644,0.6805555555555556,0.6643356643356644,0.75,0.4755244755244755,0.4857142857142857,0.3142857142857143,0.3076923076923077,0.8461538461538461,0.5,0.4583333333333333,0.5419580419580419
