fold,method,method_label,weights,threshold,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_lie_at_0p5,macro_f1_at_0p5,auc_roc,auc_pr,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_precision_lie,calibrated_recall_lie,calibrated_f1_lie,calibrated_macro_f1,calibrated_confusion_matrix
fold1,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.4698400348424911,0.5743801652892562,0.5745384734054406,0.588,0.5739145299145298,0.5912339944119714,0.5966651105205479,0.5702479338842975,0.5642194758223487,0.584192439862543,0.6614785992217899,0.6204379562043796,0.5625999304831422,"[[106, 121], [87, 170]]"
fold2,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.48176356628537176,0.5767634854771784,0.5825465591936069,0.5363636363636364,0.5735253296321998,0.6572656506205015,0.6557917892908954,0.6099585062240664,0.6094033173964823,0.6305220883534136,0.6205533596837944,0.6254980079681275,0.6092858005208603,"[[137, 92], [96, 157]]"
fold3,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.48290466964244844,0.47198275862068967,0.5,0.0,0.3206442166910688,0.5692106979778213,0.5964167617870934,0.5043103448275862,0.5274624918460534,0.6829268292682927,0.11428571428571428,0.1958041958041958,0.4187743720454001,"[[206, 13], [217, 28]]"
fold1,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=0.12;gated_prior_kl=0.88,0.5063578434501376,0.5826446280991735,0.5740928024134798,0.6443661971830986,0.5696830985915493,0.609215104818389,0.6377103350447942,0.5723140495867769,0.5674505905140643,0.5886524822695035,0.6459143968871596,0.6159554730983302,0.5667189952904239,"[[111, 116], [91, 166]]"
fold2,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=0.99;gated_prior_kl=0.01,0.48187993516772987,0.5767634854771784,0.5825465591936069,0.5363636363636364,0.5735253296321998,0.6575245525311977,0.6559859579745503,0.6099585062240664,0.6094033173964823,0.6305220883534136,0.6205533596837944,0.6254980079681275,0.6092858005208603,"[[137, 92], [96, 157]]"
fold3,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=0.10;gated_prior_kl=0.90,0.49923519479731726,0.5387931034482759,0.5421861895443109,0.5244444444444445,0.5383728498372851,0.572360451029727,0.5838805609297926,0.5366379310344828,0.539418507128879,0.5714285714285714,0.4897959183673469,0.5274725274725275,0.5364635364635364,"[[129, 90], [125, 120]]"
fold1,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.00;gated_prior_kl=1.00,0.516522823061262,0.5826446280991735,0.5717787414936835,0.6552901023890785,0.5632471454353769,0.6119748367301462,0.6340516345947904,0.5516528925619835,0.5526234594353692,0.5847457627118644,0.5369649805447471,0.5598377281947262,0.5514978114657841,"[[129, 98], [119, 138]]"
fold2,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.21;gated_prior_kl=0.79,0.5147200209274887,0.6265560165975104,0.6250064725477674,0.6484375,0.6251037057522124,0.6700899252636485,0.6789569293687855,0.6244813278008299,0.6292438338194937,0.6818181818181818,0.5335968379446641,0.5986696230598669,0.6229215561693097,"[[166, 63], [118, 135]]"
fold3,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.26;gated_prior_kl=0.74,0.49389239684740704,0.5387931034482759,0.5523623147889293,0.41530054644808745,0.5172588141493106,0.5770012114434815,0.5906516305561087,0.5538793103448276,0.5557450377411239,0.5871559633027523,0.5224489795918368,0.5529157667386609,0.5538772382080401,"[[129, 90], [117, 128]]"
fold1,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.516522823061262,0.5826446280991735,0.5717787414936835,0.6552901023890785,0.5632471454353769,0.6119748367301462,0.6340516345947904,0.5516528925619835,0.5526234594353692,0.5847457627118644,0.5369649805447471,0.5598377281947262,0.5514978114657841,"[[129, 98], [119, 138]]"
fold2,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.525233119726181,0.6286307053941909,0.6255329064328494,0.6603415559772297,0.6253652859977681,0.6605795950774116,0.6659479278828021,0.6078838174273858,0.6146762863109929,0.6797752808988764,0.4782608695652174,0.5614849187935035,0.6034441479520989,"[[172, 57], [132, 121]]"
fold3,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.49876815676689146,0.5538793103448276,0.5545335942596217,0.5623678646934461,0.5537114048741956,0.5699748392507689,0.5816236192118289,0.5581896551724138,0.5578883608237816,0.5847457627118644,0.563265306122449,0.5738045738045738,0.5575957992065375,"[[121, 98], [107, 138]]"
