source_group,method,acc,f1_lie,auc_roc,balanced_accuracy,notes
paper,DOLOS paper Visual,0.6144,0.6942,0.5889,,Table 2
paper,DOLOS paper Audio,0.5919,0.7345999999999999,0.5254,,Table 2
paper,DOLOS paper Concatenation,0.6162,0.7020000000000001,0.605,,Table 2
paper,DOLOS paper PAVF,0.6475,0.7120000000000001,0.6271,,Table 2
paper,DOLOS paper PAVF + Multi-task,0.6684,0.7334999999999999,0.6457999999999999,,Table 2
ours,Cross-attention AUC baseline,0.5615055949786502,0.4805800533255676,0.6059034476700981,0.5670284283549615,mean over fold calibrated thresholds
ours,Gated logits prior-KL,0.5936264907822486,0.6026902008310396,0.643770851118952,0.5939100617764207,mean over fold calibrated thresholds
ours,Final ensemble raw-AUC,0.5935956966220433,0.5894458274761533,0.6532228348538868,0.5960942787505363,mean over fold calibrated thresholds
