host,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
SB,183,82,101,0.5300546448087432,0.5329630524028013,0.5425531914893617,0.5200434677614103,0.47540983606557374,46,36,50,51
YW,338,153,185,0.5798816568047337,0.5800388623918036,0.601123595505618,0.6137784843667197,0.5059171597633136,89,64,78,107
LS,374,166,208,0.5828877005347594,0.5866832715477295,0.5958549222797928,0.6318060704355886,0.47593582887700536,103,63,93,115
BRI,269,158,111,0.6282527881040892,0.6071672938761546,0.5192307692307693,0.6464819249629375,0.36059479553903345,115,43,57,54
AN,266,116,150,0.6353383458646616,0.6385632183908045,0.6548042704626335,0.6650574712643679,0.4924812030075188,77,39,58,92
