method,method_label,fold,weights,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_lie_at_0p5,macro_f1_at_0p5,auc_roc,auc_pr,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_precision_lie,calibrated_recall_lie,calibrated_f1_lie,calibrated_macro_f1
cross_attention_auc,Cross-attention AUC baseline,mean,cross_attention_auc=1.00;gated_prior_kl=0.00,0.5410421364623748,0.5523616775330158,0.3747878787878787,0.48936135874593284,0.6059034476700981,0.6162912205328456,0.5615055949786502,0.5670284283549615,0.6325471191614165,0.4654392243970995,0.4805800533255676,0.5302200343498008
ensemble_raw_auc_roc,Final ensemble raw-AUC,mean,cross_attention_auc=0.41;gated_prior_kl=0.59,0.5773535262220403,0.5686847092007398,0.6288564679953389,0.5303773148392706,0.6532228348538868,0.6589010245268166,0.5935956966220433,0.5960942787505363,0.6312694867441122,0.5551186759442553,0.5894458274761533,0.5929567255803169
ensemble_raw_balanced_accuracy,Final ensemble raw-BA,mean,cross_attention_auc=0.09;gated_prior_kl=0.91,0.586332413548721,0.5723771397194167,0.6756828674892247,0.5333905687767325,0.6526917102697948,0.6572439538558318,0.5963390867664141,0.5944191490538774,0.6154695780363021,0.6307557778036545,0.6209511113708533,0.592936698504224
gated_prior_kl,Gated logits prior-KL,mean,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5752262902703854,0.557126742670068,0.6877157850305005,0.49186884477893206,0.643770851118952,0.651670615648412,0.5936264907822486,0.5939100617764207,0.6223578014699259,0.5860030150384695,0.6026902008310396,0.5926072689213212
