host,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
SB,183,82,101,0.5081967213114754,0.5085728085003622,0.53125,0.5351364404733157,0.4972677595628415,42,40,50,51
BRI,269,158,111,0.5687732342007435,0.5404550119739993,0.42,0.6014368799178927,0.3308550185873606,111,47,69,42
LS,374,166,208,0.5802139037433155,0.5812384151992586,0.6025316455696202,0.5914040778498609,0.5,98,68,89,119
YW,338,153,185,0.5946745562130178,0.5980745451333687,0.6028985507246377,0.5963610669493022,0.47337278106508873,97,56,81,104
AN,266,116,150,0.6052631578947368,0.610919540229885,0.6181818181818182,0.7090229885057471,0.4699248120300752,76,40,65,85
