method,method_label,fold,weights,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_lie_at_0p5,macro_f1_at_0p5,auc_roc,auc_pr,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_precision_lie,calibrated_recall_lie,calibrated_f1_lie,calibrated_macro_f1
cross_attention_auc,Cross-attention AUC baseline,mean,cross_attention_auc=1.00;gated_prior_kl=0.00,0.5410421364623748,0.5523616775330158,0.3747878787878787,0.48936135874593284,0.6059034476700981,0.6162912205328456,0.5615055949786502,0.5670284283549615,0.6325471191614165,0.4654392243970995,0.4805800533255676,0.5302200343498008
ensemble_raw_auc_roc,Final ensemble raw-AUC,mean,cross_attention_auc=0.40;gated_prior_kl=0.60,0.5660670723415425,0.5662751837171326,0.5683914259970598,0.5605270926870114,0.6130333694597713,0.625858951316379,0.5729701622817753,0.5720908050131418,0.5968677140171629,0.5854212249794336,0.5896420028463284,0.5708227774249403
ensemble_raw_balanced_accuracy,Final ensemble raw-BA,mean,cross_attention_auc=0.16;gated_prior_kl=0.84,0.5826645827149867,0.5830491762767934,0.573009382945722,0.5685365551123,0.6196886578124254,0.6345533981732282,0.576671176902547,0.5792041103319956,0.6179066359442662,0.531003599360416,0.570474372664418,0.576098868614378
gated_prior_kl,Gated logits prior-KL,mean,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5883848812793974,0.5839484140620516,0.625999841019918,0.5807746121024469,0.6141764236861088,0.6272077272298072,0.5725754550539276,0.5750627021900478,0.6164222687742017,0.5261637187441378,0.5650424069309345,0.5708459195414735
